msa_md,msa_md_name,state
39340,Provo-Orem,UT
99999,Kirksville,MO
99999,Hailey,ID
99999,Cambridge,OH
99999,Rockingham,NC
99999,Fort Payne,AL
99999,Oak Harbor,WA
45060,Syracuse,NY
99999,Silver City,NM
99999,Elko,NV
99999,Mitchell,SD
19430,Dayton-Kettering,OH
19180,Danville,IL
27500,Janesville-Beloit,WI
43620,Sioux Falls,SD
20020,Dothan,AL
99999,Raymondville,TX
99999,Price,UT
13380,Bellingham,WA
99999,Talladega-Sylacauga,AL
99999,Campbellsville,KY
99999,Alice,TX
16620,Charleston,WV
99999,Glasgow,KY
99999,Burley,ID
99999,Clarksburg,WV
99999,Great Bend,KS
99999,
45780,Toledo,OH
17980,Columbus,GA-AL
99999,Sandpoint,ID
19140,Dalton,GA
42540,Scranton--Wilkes-Barre,PA
36540,Omaha-Council Bluffs,NE-IA
26380,Houma-Thibodaux,LA
22660,Fort Collins,CO
99999,Morgan City,LA
29420,Lake Havasu City-Kingman,AZ
30980,Longview,TX
99999,Amsterdam,NY
23540,Gainesville,FL
99999,Española,NM
40580,Rocky Mount,NC
99999,McAlester,OK
99999,Winnemucca,NV
30860,Logan,UT-ID
99999,Eureka-Arcata,CA
99999,Easton,MD
99999,St. Marys,PA
34580,Mount Vernon-Anacortes,WA
99999,Safford,AZ
36140,Ocean City,NJ
99999,Greeneville,TN
11500,Anniston-Oxford,AL
99999,Scottsburg,IN
42020,San Luis Obispo-Paso Robles,CA
21340,El Paso,TX
41140,St. Joseph,MO-KS
23060,Fort Wayne,IN
99999,The Dalles,OR
46300,Twin Falls,ID
99999,Lincoln,IL
41420,Salem,OR
42200,Santa Maria-Santa Barbara,CA
27620,Jefferson City,MO
16820,Charlottesville,VA
99999,Baraboo,WI
99999,Iron Mountain,MI-WI
41620,Salt Lake City,UT
99999,Madison,IN
99999,Huntington,IN
99999,Willmar,MN
21300,Elmira,NY
10740,Albuquerque,NM
99999,Cadillac,MI
13020,Bay City,MI
99999,Logansport,IN
99999,Concord,NH
28100,Kankakee,IL
99999,Grenada,MS
99999,Milledgeville,GA
99999,Brevard,NC
12060,Atlanta-Sandy Springs-Alpharetta,GA
99999,Oxford,MS
48864,Wilmington,DE-MD-NJ
99999,Bellefontaine,OH
20220,Dubuque,IA
47664,Warren-Troy-Farmington Hills,MI
99999,New Ulm,MN
99999,Warren,PA
47460,Walla Walla,WA
99999,Kendallville,IN
99999,Huron,SD
13780,Binghamton,NY
99999,St. Marys,GA
48260,Weirton-Steubenville,WV-OH
99999,Meadville,PA
99999,Newport,OR
47894,Washington-Arlington-Alexandria,DC-VA-MD-WV
99999,Hermiston-Pendleton,OR
99999,Paducah,KY-IL
33124,Miami-Miami Beach-Kendall,FL
99999,Lewisburg,PA
99999,Bonham,TX
39150,Prescott Valley-Prescott,AZ
22380,Flagstaff,AZ
99999,Wabash,IN
99999,Beaver Dam,WI
36084,Oakland-Berkeley-Livermore,CA
99999,Truckee-Grass Valley,CA
99999,Muskogee,OK
99999,Bozeman,MT
22140,Farmington,NM
27140,Jackson,MS
16020,Cape Girardeau,MO-IL
99999,Greensburg,IN
46220,Tuscaloosa,AL
31540,Madison,WI
26980,Iowa City,IA
99999,Kerrville,TX
99999,Fairmont,WV
99999,Kearney,NE
99999,Helena,MT
19060,Cumberland,MD-WV
99999,Alpena,MI
